quoteText,bookTitle,bookAuthor,tags
"In a probabilistic environment, you are better served by focusing on the process by which you make a decision than on the outcome",Think Twice: Harnessing the Power of Counterintuition,Michael J. Mauboussin,[]
"However, once you realize the answer to most questions is, “It depends,” you are ready to embark on the quest to figure out what it depends on.",Think Twice: Harnessing the Power of Counterintuition,Michael J. Mauboussin,[]
"To overcome inertia, Peter Drucker, the legendary consultant, suggested asking the seemingly naïve question, “If we did not do this already, would we, knowing what we now know, go into it?”26",Think Twice: Harnessing the Power of Counterintuition,Michael J. Mauboussin,[]
