quoteText,bookTitle,bookAuthor,tags
"Reid Hoffman, founder of LinkedIn, observed that an entrepreneur is someone who will jump off a cliff and assemble an airplane on the way down.",Mastering the VC Game: A Venture Capital Insider Reveals How to Get from Start-up to IPO on Your Terms,Jeffrey Bussgang,[]
The most successful start-ups operate like good ensembles.,Mastering the VC Game: A Venture Capital Insider Reveals How to Get from Start-up to IPO on Your Terms,Jeffrey Bussgang,[]
"Money is nice, right?,” he confessed to me. “Money gives you good things, it gives you a power that you can go do other things with. But it’s not a meaning of a life in itself. Money is a motivator, but it’s not the motivator that I wake up in the morning thinking about, it’s not the motivator that I go home thinking about, it’s not the motivator that gets you an obituary.",Mastering the VC Game: A Venture Capital Insider Reveals How to Get from Start-up to IPO on Your Terms,Jeffrey Bussgang,[]
"And so here’s the VC conundrum: whether to focus on early-stage investments, where the risks are higher, the potential returns larger, but the fund size—and thus fee income—is smaller, or on later-stage deals where the risks are lower, the fees fatter, but the opportunities for tenfold returns are much rarer.",Mastering the VC Game: A Venture Capital Insider Reveals How to Get from Start-up to IPO on Your Terms,Jeffrey Bussgang,[]
"If you’re going to fail, fail quick and cheap.’ There’s no stigma in failing that way.",Mastering the VC Game: A Venture Capital Insider Reveals How to Get from Start-up to IPO on Your Terms,Jeffrey Bussgang,[]
